category,division,name,subcategory,true_label
Coats,Womens,knitted french s swing blend crepe trim parka kimono double evans collar,Fur & faux fur coat|Macintosh & rain coat|Padded & down coat,1
Coats,Womens,baker coat blend check crepe mint warehouse crepe detachable stripe duffle cotton,Biker Coat|Fur & faux fur coat,1
Coats,Womens,curve coat petite curve zip crepe,Biker Coat|Fur & faux fur coat,1
Coats,Womens,fur mix miss coat designer colour baker double stone parka lined,Classic|Boyfriend coat,1
Coats,Womens,quilted shearling dark borg baker block jigsaw coat oversized neck hood natural lined,Trench coat|Macintosh & rain coat,1
Coats,Womens,trench check parka trim stripe miss tweed swing quilted funnel,Classic|Padded & down coat,1
Coats,Womens,look puffer parka whistles belted length,Biker Coat|Trench coat|Fur & faux fur coat|Parka|Military coat|Cocoon coat|Macintosh & rain coat|Duffle coat,1
Coats,Womens,length length parka floral boyfriend wrap check oversized rain long,Boyfriend coat|Cocoon coat|Fur & faux fur coat|Parka,1
Coats,Womens,s leopard curve whistles miss swing s mid mix lightweight short mink swing biker coat,Boyfriend coat|Macintosh & rain coat|Trench coat,1
Coats,Womens,car coat faux car waterfall petite,Boyfriend coat|Classic,1
Coats,Womens,padded boucle leopard breasted natural lining check coat car,Cocoon coat|Macintosh & rain coat,1
Coats,Womens,french duffle coat contrast military parka,Boyfriend coat,1
Coats,Womens,coat mink wool mac jacket,Fur & faux fur coat|Duffle coat,1
Coats,Womens,fur coat blend jigsaw long fashion lightweight fur duster parka look crepe fit mink,Cocoon coat,1
Coats,Womens,length lining lightweight textured warehouse parka designer fashion evans whistles crepe,Classic|Fur & faux fur coat|Macintosh & rain coat,1
Coats,Womens,baker leather biker coat mango trench jacket biker,Boyfriend coat|Military coat|Parka,1
Coats,Womens,dark parka mac waterfall borg,Biker Coat,1
Coats,Womens,crepe boyfriend crepe contrast parka ted biker block jacquard cape pea women wrap whistles evans,Fur & faux fur coat|Boyfriend coat|Biker Coat,1
Coats,Womens,duffle mid jacket coat short,Boyfriend coat|Macintosh & rain coat|Trench coat,1
Coats,Womens,mix petite warehouse biker parka waterfall stone block check textured longline pea s,Cape|Fur & faux fur coat,1
Coats,Womens,colour print knitted detachable parka,Fur & faux fur coat|Biker Coat,1
Coats,Womens,lining quilted s belted coat check check velvet lined,Boyfriend coat|Cape,1
Coats,Womens,evans zip military diamond overcoat parka fashion trim duster,Biker Coat|Fur & faux fur coat|Trench coat,1
Coats,Womens,coat collarless evans colour leather velvet,Classic|Macintosh & rain coat|Classic,1
Coats,Womens,collarless parka wool contrast swing natural oversized curve waterfall coat military collar cotton quilted boyfriend,Cape|Classic|Duffle coat,1
Coats,Womens,funnel breasted parka crepe overcoat duffle ted puffer petite whistles,Duffle coat|Fur & faux fur coat,1
Coats,Womens,neck coat jacket baker coat jacquard coat velvet hood hooded,Boyfriend coat|Fur & faux fur coat|Parka,1
Coats,Womens,parka shearling mid french miss dark coat shearling,Biker Coat|Cocoon coat,1
Coats,Womens,s block double cape french wrap oversized velvet cape curve parka,Fur & faux fur coat,1
Coats,Womens,coat fit collar leopard knitted diamond block detachable jigsaw mac quilted kimono military,Duffle coat|Padded & down coat,1
Coats,Womens,curve pu oversized waterfall print stone parka curve,Boyfriend coat|Padded & down coat,1
Coats,Womens,duffle tweed knitted military zip longline hooded cocoon velvet fur cocoon coat jacquard,Fur & faux fur coat|Cape,1
Coats,Womens,parka miss hooded natural short velvet,Macintosh & rain coat|Trench coat,1
Coats,Womens,parka coat detachable fashion biker funnel parka cream,Fur & faux fur coat|Cocoon coat,1
